AREA,PRIM_ST,STATE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,YEAR,HOURLY,JOBS_1000,LOC QUOTIENT,LOC_Q,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,PRIM_STATE,PCT_TOTAL,PCT_RPT
6,CA,California,51-0000,Production Occupations,major,"1,148,230",1.0,12.70,"26,410",0.5,6.83,7.92,10.62,15.73,21.83,"14,200","16,470","22,090","32,720","45,400",,2001,,,,,,,,,,,,
6,CA,California,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"71,960",1.7,22.59,"47,000",0.5,11.93,15.58,21.12,28.08,35.59,"24,810","32,420","43,930","58,400","74,030",,2001,,,,,,,,,,,,
6,CA,California,51-5021,Job Printers,,"6,830",12.4,16.97,"35,290",3.0,10.26,12.67,16.87,20.28,24.84,"21,350","26,340","35,080","42,190","51,670",,2001,,,,,,,,,,,,
6,CA,California,53-3031,Driver/Sales Workers,,"50,670",11.0,10.98,"22,840",2.2,6.73,7.26,8.35,13.49,19.12,"13,990","15,110","17,380","28,060","39,770",,2001,,,,,,,,,,,,
8,CO,Colorado,11-3051,Industrial Production Managers,,"2,280",7.1,33.01,"68,660",1.5,18.37,23.37,30.96,40.99,53.74,"38,210","48,600","64,410","85,260","111,780",,2001,,,,,,,,,,,,
8,CO,Colorado,11-9051,Food Service Managers,,"3,190",10.6,21.10,"43,890",6.7,11.25,14.12,17.87,24.10,37.52,"23,390","29,370","37,170","50,130","78,030",,2001,,,,,,,,,,,,
8,CO,Colorado,17-2112,Industrial Engineers,,"2,870",9.1,31.52,"65,570",2.0,20.72,24.80,30.96,38.14,44.04,"43,110","51,590","64,390","79,320","91,600",,2001,,,,,,,,,,,,
8,CO,Colorado,17-2131,Materials Engineers,,440,9.8,33.96,"70,650",1.8,21.06,27.01,34.07,41.26,48.80,"43,800","56,180","70,860","85,810","101,500",,2001,,,,,,,,,,,,
8,CO,Colorado,19-2032,Materials Scientists,,**,**,39.38,"81,910",3.3,24.55,29.23,38.17,50.71,56.42,"51,050","60,790","79,390","105,480","117,360",,2001,,,,,,,,,,,,
8,CO,Colorado,23-2092,Law Clerks,,270,7.5,17.13,"35,630",2.3,12.17,14.47,17.13,19.60,21.13,"25,310","30,100","35,630","40,780","43,950",,2001,,,,,,,,,,,,
8,CO,Colorado,27-1021,Commercial And Industrial Designers,,690,21.3,21.21,"44,110",2.9,13.73,16.68,19.71,24.82,31.30,"28,560","34,680","41,000","51,620","65,090",,2001,,,,,,,,,,,,
8,CO,Colorado,29-1123,Physical Therapists,,"2,310",9.0,24.60,"51,160",1.6,18.06,21.40,24.54,27.33,31.95,"37,560","44,520","51,050","56,850","66,450",,2001,,,,,,,,,,,,
8,CO,Colorado,35-2021,Food Preparation Workers,,"12,350",13.3,8.74,"18,190",1.3,6.37,7.34,8.24,9.91,12.45,"13,260","15,260","17,140","20,610","25,890",,2001,,,,,,,,,,,,
8,CO,Colorado,41-2022,Parts Salespersons,,"3,440",10.0,14.69,"30,560",3.6,8.10,9.90,13.15,17.86,25.00,"16,840","20,590","27,360","37,150","52,000",,2001,,,,,,,,,,,,
8,CO,Colorado,43-4021,Correspondence Clerks,,370,15.1,13.29,"27,650",4.1,9.22,10.57,12.80,16.13,19.16,"19,180","21,980","26,620","33,550","39,850",,2001,,,,,,,,,,,,
8,CO,Colorado,43-4071,File Clerks,,"3,540",6.6,10.09,"20,990",1.5,6.74,8.22,9.93,11.80,13.78,"14,020","17,090","20,650","24,550","28,650",,2001,,,,,,,,,,,,
8,CO,Colorado,43-4151,Order Clerks,,"4,450",6.1,12.57,"26,140",1.4,8.17,9.83,12.06,15.02,17.57,"16,990","20,440","25,090","31,250","36,550",,2001,,,,,,,,,,,,
8,CO,Colorado,47-2072,Pile-Driver Operators,,130,28.2,17.15,"35,680",4.5,12.43,13.84,16.26,19.62,21.64,"25,850","28,780","33,810","40,810","45,010",,2001,,,,,,,,,,,,
8,CO,Colorado,49-9041,Industrial Machinery Mechanics,,"1,780",7.1,18.96,"39,440",1.4,11.90,15.27,18.86,22.95,26.66,"24,740","31,760","39,230","47,740","55,450",,2001,,,,,,,,,,,,
8,CO,Colorado,49-9043,"Maintenance Workers, Machinery",,950,13.6,15.16,"31,540",4.7,7.24,10.91,14.94,19.75,23.09,"15,060","22,690","31,060","41,090","48,040",,2001,,,,,,,,,,,,
8,CO,Colorado,51-0000,Production Occupations,major,"119,090",2.5,13.18,"27,410",0.6,7.59,9.30,11.82,16.03,20.94,"15,790","19,340","24,580","33,340","43,550",,2001,,,,,,,,,,,,
8,CO,Colorado,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"9,300",3.5,21.64,"45,020",0.9,12.94,16.21,20.57,26.12,32.48,"26,910","33,720","42,780","54,330","67,560",,2001,,,,,,,,,,,,
8,CO,Colorado,51-5021,Job Printers,,790,44.6,16.49,"34,290",6.8,9.99,13.55,17.43,19.73,21.19,"20,770","28,170","36,260","41,040","44,070",,2001,,,,,,,,,,,,
8,CO,Colorado,53-3031,Driver/Sales Workers,,"6,170",16.5,11.35,"23,610",4.9,5.80,6.55,10.20,14.53,20.04,"12,070","13,630","21,210","30,210","41,680",,2001,,,,,,,,,,,,
9,CT,Connecticut,11-3051,Industrial Production Managers,,"2,900",2.6,38.65,"80,380",1.3,22.91,28.17,35.88,48.28,64.05,"47,660","58,600","74,640","100,430","133,220",,2001,,,,,,,,,,,,
9,CT,Connecticut,11-9051,Food Service Managers,,"2,520",6.9,21.56,"44,840",2.9,12.88,17.52,20.32,25.02,31.48,"26,800","36,440","42,260","52,040","65,490",,2001,,,,,,,,,,,,
9,CT,Connecticut,17-2112,Industrial Engineers,,"3,090",6.9,30.27,"62,960",1.3,20.07,24.36,29.33,35.38,43.23,"41,740","50,660","61,000","73,590","89,920",,2001,,,,,,,,,,,,
9,CT,Connecticut,17-2131,Materials Engineers,,610,39.7,32.24,"67,060",2.2,20.32,25.16,32.98,40.00,44.12,"42,260","52,340","68,600","83,210","91,760",,2001,,,,,,,,,,,,
9,CT,Connecticut,19-2032,Materials Scientists,,110,28.3,33.72,"70,140",4.9,19.86,24.57,31.99,42.59,52.57,"41,310","51,110","66,530","88,590","109,340",,2001,,,,,,,,,,,,
9,CT,Connecticut,23-2092,Law Clerks,,420,22.4,18.32,"38,100",6.4,11.38,12.90,16.79,20.99,29.94,"23,680","26,840","34,930","43,650","62,270",,2001,,,,,,,,,,,,
9,CT,Connecticut,27-1021,Commercial And Industrial Designers,,740,21.5,34.52,"71,790",17.5,16.13,19.79,28.49,41.46,#,"33,550","41,160","59,250","86,240",#,,2001,,,,,,,,,,,,
9,CT,Connecticut,29-1123,Physical Therapists,,"2,210",7.5,30.37,"63,170",2.3,20.32,23.99,28.54,34.08,47.16,"42,260","49,890","59,360","70,880","98,100",,2001,,,,,,,,,,,,
9,CT,Connecticut,35-2021,Food Preparation Workers,,"12,390",6.6,9.75,"20,280",1.0,7.07,7.81,9.22,10.88,13.19,"14,700","16,250","19,190","22,640","27,440",,2001,,,,,,,,,,,,
9,CT,Connecticut,41-2022,Parts Salespersons,,"2,340",6.6,13.62,"28,330",2.1,7.87,9.69,12.93,17.20,20.63,"16,370","20,140","26,890","35,770","42,910",,2001,,,,,,,,,,,,
9,CT,Connecticut,43-4021,Correspondence Clerks,,630,13.6,13.91,"28,940",2.9,9.20,10.71,13.12,16.74,20.05,"19,130","22,280","27,290","34,830","41,710",,2001,,,,,,,,,,,,
9,CT,Connecticut,43-4071,File Clerks,,"3,540",8.9,10.60,"22,050",1.5,7.12,8.14,10.01,12.42,15.10,"14,810","16,940","20,820","25,820","31,400",,2001,,,,,,,,,,,,
9,CT,Connecticut,43-4151,Order Clerks,,"4,240",5.6,14.16,"29,460",1.4,8.37,10.59,13.34,17.16,21.11,"17,400","22,020","27,760","35,700","43,900",,2001,,,,,,,,,,,,
9,CT,Connecticut,47-2072,Pile-Driver Operators,,110,37.4,22.65,"47,120",6.1,17.15,18.64,21.09,27.31,32.01,"35,680","38,780","43,870","56,800","66,590",,2001,,,,,,,,,,,,
9,CT,Connecticut,49-9041,Industrial Machinery Mechanics,,"1,610",11.7,19.86,"41,310",2.3,13.04,16.25,19.58,22.87,27.55,"27,120","33,810","40,730","47,560","57,310",,2001,,,,,,,,,,,,
9,CT,Connecticut,49-9043,"Maintenance Workers, Machinery",,"1,170",9.8,18.18,"37,820",3.2,11.62,14.75,18.14,21.40,25.61,"24,170","30,690","37,730","44,510","53,270",,2001,,,,,,,,,,,,
9,CT,Connecticut,51-0000,Production Occupations,major,"141,790",2.8,14.97,"31,130",0.7,8.18,10.31,13.94,18.25,22.79,"17,010","21,440","29,000","37,970","47,410",,2001,,,,,,,,,,,,
